Date    ,Time  ,Elapsed,Notes,Filename
11/01/2016,16:10:36,0:15:36,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,15:54:20,0:15:36,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,15:33:45,0:15:34,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,15:11:29,0:15:36,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,14:53:11,0:15:36,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,14:31:42,0:15:35,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,14:10:14,0:15:35,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,13:53:39,0:15:35,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,13:33:32,0:15:36,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,13:17:28,0:15:36,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,13:01:15,0:15:37,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,12:43:17,0:15:39,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
11/01/2016,12:07:49,1:26:10,Image,C:\My Documents\KcamEMF\Swoosh_RIGHT_BOARD_2.cdr_EMF.EMF
11/01/2016,10:29:34,0:05:51,Image,C:\My Documents\KcamEMF\Swoosh_RIGHT_BOARD_2.cdr_EMF.EMF
11/01/2016,10:22:45,0:05:27,Image,C:\My Documents\KcamEMF\Swoosh_RIGHT_BOARD_2.cdr_EMF.EMF
11/01/2016,10:16:20,0:05:33,Image,C:\My Documents\KcamEMF\Swoosh_RIGHT_BOARD_2.cdr_EMF.EMF
11/01/2016,10:09:29,1:36:42,Image,C:\My Documents\KcamEMF\Swoosh_LEFT_BOARD_2.cdr_EMF.EMF
10/31/2016,16:43:08,0:01:39,Image,C:\My Documents\KcamEMF\Swoosh_LEFT_BOARD_2.cdr_EMF.EMF
10/31/2016,16:38:53,0:01:34,Image,C:\My Documents\KcamEMF\Swoosh_LEFT_BOARD_2.cdr_EMF.EMF
10/31/2016,16:30:29,1:02:34,Vector,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
10/31/2016,13:31:59,0:23:37,Vector,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
10/31/2016,13:08:05,1:17:11,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
10/28/2016,12:46:58,0:14:22,Image,C:\My Documents\KcamEMF\temp.pdf_EMF.EMF
